epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13512,0.54395,0.33184,0.96893,0.95103,0.96084,0.98101,0.62833,1.3009,0.6439,1.26075,0.000379743,0.000379743,0.000379743
80,13683.2,0.5481,0.33839,0.96748,0.96167,0.96917,0.98634,0.63249,1.26435,0.5651,1.23444,0.000363239,0.000363239,0.000363239
81,13853.6,0.54595,0.33987,0.97099,0.96837,0.97111,0.98555,0.63412,1.22531,0.53008,1.19916,0.000346736,0.000346736,0.000346736
82,14023.9,0.56393,0.34704,0.97304,0.9668,0.96338,0.98332,0.62914,1.25809,0.64404,1.21728,0.000330233,0.000330233,0.000330233
83,14194.6,0.53199,0.32489,0.95522,0.97248,0.99,0.98755,0.63035,1.27899,0.50495,1.24078,0.000313729,0.000313729,0.000313729
84,14364.9,0.53418,0.32556,0.96281,0.98264,0.98099,0.98622,0.6357,1.22984,0.49024,1.19445,0.000297226,0.000297226,0.000297226
85,14536.4,0.52551,0.32278,0.95688,0.97612,0.97608,0.98722,0.63328,1.23619,0.49376,1.20988,0.000280723,0.000280723,0.000280723
86,14707.4,0.51519,0.31131,0.9549,0.97685,0.96917,0.98574,0.62976,1.24849,0.50938,1.21859,0.00026422,0.00026422,0.00026422
87,14878.6,0.52346,0.32899,0.96493,0.98414,0.97381,0.98355,0.62807,1.26746,0.49024,1.23917,0.000247716,0.000247716,0.000247716
88,15051,0.53345,0.33311,0.96159,0.9796,0.98292,0.98728,0.63272,1.26459,0.50518,1.23876,0.000231213,0.000231213,0.000231213
89,15221.2,0.51499,0.31776,0.9585,0.97981,0.98306,0.98689,0.63876,1.24995,0.52763,1.20658,0.00021471,0.00021471,0.00021471
